filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
214__[voi][nod][cou_fol]2372__2.wav,0.377217412,0.095503882,984.3737079,1402.238727,1950.542388,0.019499201,-296.7339478,216.5052948,-18.67957878,32.27905655,28.16174698,5.877028465,9.337744713,-0.769410551,-4.125360966,-10.42812824,-3.846508503,-1.803935528,-4.384861946,-1.198366404,-3.385736465,-1.653210521,1.325294375,-0.018086554,1.78537631,6.643592358,voice
[voi][jaz_blu]2486__2.wav,0.248111665,0.144006446,4269.156886,4766.357563,9766.014305,0.070485944,-149.9282684,104.3636093,18.07201004,43.63216782,-20.55516243,30.38588905,-15.21909714,15.37157631,-12.92519665,9.384856224,0.141532749,3.607138157,-19.71281052,8.906998634,-13.17569351,0.031935386,-21.97947693,2.955513716,-7.04101944,13.45619678,voice
[voi][pop_roc]2499__2.wav,0.405383646,0.066620886,2345.800876,3721.690998,5320.197688,0.030518521,-263.0966492,152.0407257,23.10427284,35.77708817,-4.12201643,34.88482285,-9.345079422,17.45179749,-6.448600292,4.69047308,-14.51067638,8.813755989,-11.0027113,-2.032763958,1.893235445,-1.707942128,-12.41897106,1.667216539,-1.395650387,-1.924595475,voice
079__[voi][dru][lat_sou]2289__3.wav,0.282013714,0.129790261,1701.921645,1765.777966,3431.511296,0.047335002,-221.416626,187.3778687,-50.67314911,31.81619453,14.26743317,-20.60025024,-12.54506302,0.01307855,-5.688623428,-9.868222237,-3.701604605,-14.71003151,-12.21582127,-9.07403183,-3.222925425,-3.437171459,-4.507960796,1.163284779,-6.667108059,-6.560575485,voice
264__[voi][nod][cou_fol]2435__1.wav,0.418122619,0.116606608,2268.021301,2792.90627,4598.294975,0.05078125,-180.2236633,167.4476776,-25.32177544,42.610672,-10.50222111,26.69313049,-15.89288712,3.522165298,-2.503929138,-4.172150612,-4.890925884,-1.209109306,-0.276882797,-5.008656025,-4.455708027,-4.834411144,-5.176867962,-5.968740463,0.157197073,-5.084556103,voice
[voi][pop_roc]2337__1.wav,0.388450205,0.187069952,2014.876706,2773.486975,4234.974134,0.036551339,-164.0640717,172.0261536,-6.370813847,41.0655098,-9.302979469,23.70313644,-12.23653316,9.829514503,-9.430787086,5.400556087,-0.924089491,-8.310451508,-7.934680462,-8.185096741,-5.125976563,-10.4275322,-1.603717208,-17.48596382,-5.096113205,0.238378018,voice
[voi][pop_roc]2354__1.wav,0.308141708,0.106627002,2132.418007,3140.451103,4685.176045,0.032539515,-236.8182373,155.7186279,-8.900035858,31.23656082,-19.41760063,28.42499161,-7.849164486,4.50931263,-23.0066452,5.518194675,-16.22617722,-8.580097198,-10.14918613,-9.403488159,-9.655139923,-19.30573654,-8.11082077,-11.0225563,-4.74898386,-9.845564842,voice
[voi][pop_roc]2505__1.wav,0.324523956,0.131527364,1728.567851,2826.319016,3427.021748,0.024214225,-239.7162781,166.9798431,-2.881289005,34.24029541,2.953893185,16.01339149,0.738173068,0.924117267,-2.096038818,7.777667046,-10.64958954,9.481677055,-3.016943455,6.568213463,-9.909432411,-1.703139782,-7.277152061,-2.697537422,-8.385357857,-6.710813999,voice
112__[voi][dru][cou_fol]2427__3.wav,0.376175523,0.270834684,3188.748591,3467.163017,6985.986328,0.079868862,-46.46861649,146.0199738,-44.77452469,54.41221619,-24.54999352,34.3496666,-29.54657555,26.20635414,-9.28381443,2.005316734,-6.956740379,2.564497232,-8.218441963,0.87720114,0.257076025,-3.10720849,4.051412582,0.393022031,6.137396812,-3.694159031,voice
051__[voi][dru][pop_roc]2304__3.wav,0.364055932,0.133618698,2715.879793,3194.281157,5908.079075,0.056881938,-134.2240906,157.4329376,-38.64683533,46.52244949,-39.5492363,23.34764099,-17.93964958,16.85519791,-10.20348072,4.222922802,-3.510063171,8.517790794,7.080431938,-2.796178102,-6.330795288,-9.640455246,-2.60060811,-4.814033508,-0.542935312,-7.68593502,voice
051__[voi][dru][pop_roc]2304__2.wav,0.393858641,0.112772062,2596.688601,3166.967251,5512.5,0.054629057,-160.2933502,155.9511414,-38.90551758,43.82831192,-20.85466194,35.015625,-12.45521545,15.2043581,-15.30274582,-0.123400599,-4.737556458,4.161365986,2.02502346,-4.556122303,-0.755368292,-6.785011292,5.013349056,-0.705720067,3.522090912,-10.65547276,voice
128__[voi][dru][pop_roc]2293__1.wav,0.556667924,0.250585854,3291.757448,3330.155969,6616.430004,0.077172946,-57.73957062,135.9017792,-56.3804512,72.04395294,-9.103274345,33.3598175,-20.92307091,25.83740425,0.179365948,18.41176605,1.271119118,4.168252468,4.299561977,-0.403299928,5.696325779,-6.624701023,4.711922169,-6.493916035,3.619978666,-5.381284714,voice
112__[voi][dru][cou_fol]2427__2.wav,0.372772366,0.245036006,3240.770341,3728.278798,7351.385663,0.070003318,-60.74224854,144.5174408,-34.26725006,47.64894104,-23.34115601,34.27427292,-24.80486107,26.45760345,-13.35873795,15.19012642,-4.115458012,11.36578751,-5.249828339,3.240363598,0.702798128,2.429451227,-1.049127102,-7.559435844,0.271213382,-6.097558975,voice
079__[voi][dru][lat_sou]2289__2.wav,0.357007325,0.117712811,1630.402605,1692.288628,3357.600032,0.048452959,-218.2178955,189.5140839,-45.49898911,27.47360229,25.72353363,-22.25694656,-11.20122051,1.14439714,-2.457801104,-0.741147578,0.39697206,-10.21017933,-12.75139332,-13.6049881,-6.983472824,-2.252921104,-2.288636446,3.150113106,0.492236406,-0.919160843,voice
[voi][pop_roc]2362__1.wav,0.472232431,0.038005725,2478.681642,2927.112972,4947.648332,0.055554718,-272.1448975,151.8417664,-38.22992706,55.1532402,-0.283701301,21.15120506,-10.03578949,11.29296875,-5.432511806,2.301991224,-7.142814636,-0.467714369,-4.256004333,-2.75678587,-3.704403639,-4.225609779,-2.262501717,-1.559723735,-5.828935623,-7.326600075,voice
[voi][pop_roc]2533__1.wav,0.443121552,0.12697202,3019.068184,3111.322135,6184.020006,0.075749578,-135.1763458,139.7524719,-42.00527573,76.30240631,-17.42292404,17.60868454,-4.871524811,12.69512558,-8.573513031,5.797143459,-6.043576717,3.503379583,3.416619301,1.985844851,-3.787270069,-0.206209362,-1.434882522,-0.682538927,-1.513391376,-2.937339783,voice
[voi][pop_roc]2499__3.wav,0.442521453,0.051144671,2070.314072,3071.833015,4268.562606,0.040040948,-286.8793335,177.9157257,14.37648869,32.54562378,-14.21822548,20.26780319,-12.45806885,14.24026871,-4.72692728,-3.037153959,-12.13832188,-1.215806484,-7.134438515,2.29246521,2.182971716,-0.109465301,-2.390398741,0.905908465,-2.581981897,-7.368871212,voice
214__[voi][nod][cou_fol]2372__3.wav,0.331990868,0.125717774,1015.922742,1403.231849,2217.421083,0.019152314,-266.0267029,218.0531006,-34.97960663,32.33998871,39.06352615,6.803702354,7.542230606,-0.434475094,0.231469706,-3.554121017,0.905496359,-0.100531615,-10.03864098,-5.71804285,-0.743699789,-3.582774401,-7.448574066,-6.948675632,-0.304807454,5.94708252,voice
[voi][jaz_blu]2486__3.wav,0.300705343,0.134333044,3856.535475,4566.407018,9263.600612,0.074912524,-144.8543701,123.552681,14.96076298,35.15505219,-20.24780655,26.06933594,-12.81201553,11.25313282,-19.40890884,11.16022205,0.257873654,4.137888432,-13.52524471,5.229748249,-11.62391567,10.82497406,-11.59988403,16.03342247,-4.859354496,11.99368668,voice
209__[voi][nod][cou_fol]2422__1.wav,0.525414765,0.117888443,988.2095651,1812.79669,1721.076594,0.015389343,-292.7926636,177.893219,-6.423130512,33.34335709,33.86887741,28.84785652,5.534769535,7.531439781,12.76137543,0.966686964,1.114720464,1.034570217,2.952633381,-2.436004639,-1.407977581,-2.469482422,-2.784474373,-2.631759644,-5.4123559,-2.878484488,voice
[voi][pop_roc]2542__1.wav,0.531566918,0.232029334,3464.693774,4232.726618,8324.037954,0.051967076,-118.233078,108.5487137,-9.526726723,44.58453369,-3.295962334,46.4822731,-1.351054668,26.75252724,-8.823068619,21.0769062,-0.086799771,12.25969601,0.541201293,12.64566994,1.264194608,11.37664604,2.326455355,5.733605862,0.688215852,-5.454706192,voice
[voi][pop_roc]2495__3.wav,0.452567905,0.029813381,2394.787871,3245.398816,5595.390361,0.043504163,-324.4380493,150.7732849,-11.00516129,60.38480377,-21.34249115,27.05606842,-15.81923008,17.86656761,-4.873632431,-6.129682064,-8.224222183,-4.65959549,-3.951421976,-1.252668977,-8.489491463,-6.412742615,-2.712549448,-8.804478645,0.259457439,-6.658065319,voice
011__[voi][dru][pop_roc]2294__3.wav,0.414287835,0.235292435,2813.319523,2909.052252,5565.792599,0.067028384,-69.25357819,148.8041077,-69.51195526,54.15207291,-16.45672607,28.65579414,-12.64769268,25.36055756,4.66738987,16.50451279,8.309380531,7.006949902,7.03883028,-6.518378258,0.237903252,-14.01322842,0.118397124,1.959752083,7.040066242,-3.835573673,voice
[voi][pop_roc]2521__1.wav,0.537392497,0.255293339,2976.930787,3416.796753,6087.162162,0.063225823,-46.82213593,142.5084686,-43.67797852,52.41426468,-7.894748211,29.904459,-16.22092056,23.3196125,-11.61099625,9.955436707,-5.66528368,3.855251074,-5.443173885,7.522774696,-5.706696987,6.900561333,-0.083430879,-0.285481274,0.519040823,-3.447083712,voice
027__[voi][dru][cou_fol]2378__2.wav,0.376478046,0.225067645,2283.841566,2689.713203,4856.859692,0.054252006,-110.5741806,166.3759613,-43.74766541,72.28874969,-4.909197807,30.8682766,-5.632642746,-2.912340641,-6.428936958,5.566063404,-6.151339054,-6.959270477,-4.063588619,1.118132472,7.647589207,-4.023263931,-0.366661936,-0.761841118,4.187355518,-2.984173298,voice
135__[voi][dru][pop_roc]2292__3.wav,0.540674627,0.28912732,3481.467507,3302.52485,6822.782939,0.095863372,-32.6350708,134.6839294,-53.56515503,68.61836243,-13.45811176,31.88220215,-20.76646042,15.75601101,-9.612757683,6.370231152,-8.728218079,4.441988945,-7.127545834,-1.725572586,0.937645376,-3.557118416,3.235312939,-6.846992493,3.006251097,-9.320113182,voice
184__[voi][dru][pop_roc]2303__2.wav,0.492570311,0.119666249,2538.596222,3094.407351,5556.397804,0.044318593,-162.9029694,149.8594513,-33.6002388,53.18497086,-10.37979603,19.56280518,0.15277417,16.29464722,-9.067894936,4.841409683,0.221284017,4.292430401,3.806160927,1.03113389,2.795835733,0.781095624,0.873492479,0.971506238,6.354371548,-3.852632284,voice
058__[voi][nod][cou_fol]2398__1.wav,0.279134005,0.119372264,1399.322177,1416.053146,2596.039643,0.041913007,-242.2092285,232.9030609,-65.54579163,7.138781071,33.11678696,-19.94875908,5.830729485,-1.942821145,-18.97683716,3.606735706,-5.484725952,-11.90462112,-0.331696838,-8.857936859,-10.63348007,-0.557836592,-1.608828425,-2.829983711,1.613309622,3.109661818,voice
058__[voi][nod][cou_fol]2398__3.wav,0.346327782,0.105428539,1186.512309,1388.69137,2285.346284,0.033825259,-257.1999817,242.3184052,-43.45611954,5.4304533,33.55862427,-19.58842659,0.648182273,9.675962448,-9.723911285,-2.293488503,-8.54101944,-10.559412,3.35317111,2.704272747,-3.312204599,-1.288238645,0.522379935,0.472187161,0.771347642,-0.913479149,voice
135__[voi][dru][pop_roc]2292__1.wav,0.543505371,0.269999087,2912.032624,3217.514058,6022.811972,0.067460108,-45.63613892,151.4087067,-47.52882004,57.84767151,-10.57398701,30.77727127,-18.82782555,15.37297821,-12.52522469,7.555765152,-4.216317177,7.87912178,-4.746875286,2.162494898,1.538150549,-3.954173088,3.514246225,-3.256158352,4.471008301,-9.074826241,voice
[voi][pop_roc]2509__2.wav,0.38595295,0.154544353,2127.684558,2798.311575,4448.227671,0.041277676,-178.1617279,157.8043365,-31.8711834,55.68082428,11.04093075,31.01350021,-12.92289639,17.03282738,-1.446908355,-3.508229971,-3.140123367,1.322251916,1.239119649,1.396716475,-0.586393714,-9.982052803,-3.952347279,-6.649908543,-2.908909798,-9.879500389,voice
197__[voi][dru][cou_fol]2425__2.wav,0.410181612,0.163716137,1852.830884,2355.774578,3757.918074,0.039377338,-158.7485504,183.8098755,-30.83345985,43.70516586,-9.128947258,16.088871,-4.261963844,3.686383486,0.523925364,-6.083756447,-3.57445097,-1.853178144,4.621013641,-0.468710124,0.704228163,1.966882348,-4.636143684,-3.277528048,1.41656971,0.086248122,voice
[voi][pop_roc]2521__3.wav,0.293821365,0.27043587,2702.927251,3163.27543,5966.8589,0.05365438,-62.27008057,152.5625,-47.07626724,60.98251724,-23.19255066,30.31231499,-17.63943672,16.38746262,-6.206898212,12.86321926,7.367289066,16.61927986,2.817646742,4.752878189,3.377537012,3.028683186,-3.53111577,-14.62089157,-1.796321273,-7.326609135,voice
181__[voi][nod][cou_fol]2434__2.wav,0.438685864,0.124264851,1995.231785,2469.904199,3956.45587,0.045783437,-198.5589752,170.4383392,-32.783638,55.62029266,-7.479031086,24.76995468,-5.571700096,-3.843449354,7.70819664,-1.371031284,-20.9555645,-19.76603508,-0.183434442,0.954120755,-4.065447807,-8.739616394,-2.155507565,-8.444728851,-3.112777472,-6.690574646,voice
011__[voi][dru][pop_roc]2294__1.wav,0.488118649,0.231876165,2988.326325,2997.620646,5784.117663,0.075044492,-65.27632141,144.6827087,-65.75452423,58.7482872,-12.87975502,32.93430328,-16.92260361,21.77286911,-0.20202896,14.23250294,7.937901497,8.591924667,7.208568573,-2.650961876,3.05947876,-12.19655991,0.34279418,-2.749435425,3.681895733,-6.67082119,voice
127__[voi][dru][pop_roc]2477__2.wav,0.331402153,0.116581954,2665.852172,3880.002702,6391.869457,0.047238854,-195.6171875,150.1812744,23.25237656,42.46949768,-28.77028084,34.7165947,-16.1320591,16.64890862,-20.10006142,8.358025551,-10.79235077,12.01587391,-3.404524088,6.250081062,-3.680342674,-2.734090567,0.558722973,-6.454174042,0.395522773,-6.070082664,voice
[voi][pop_roc]2495__1.wav,0.435601771,0.024360398,2327.554081,3329.280487,5719.185494,0.036413716,-343.6323853,150.8214264,-11.92063808,54.54177475,-16.64169502,33.42632294,-16.55907631,21.85523796,-9.899346352,-8.460367203,-5.594919682,-3.858004093,-5.668979168,-3.710968494,-5.906896591,-8.79716301,-4.783001423,-11.16662502,-4.487722874,-8.395447731,voice
[voi][pop_roc]2517__2.wav,0.360675514,0.046702862,3443.87113,3305.803673,6534.287901,0.091521628,-246.8680267,131.0042267,-44.43263245,29.99116135,-24.63998413,17.08452988,-17.85091591,15.59724522,-14.0931921,-4.925980091,-15.10903549,5.701909542,-10.37653637,-10.05528736,-1.596766233,-2.727101326,1.559877992,-0.927317858,5.466143608,-5.74495697,voice
[voi][pop_roc]2542__3.wav,0.516571522,0.247727036,2580.124605,3770.203098,6113.933171,0.037409131,-105.2812042,144.7105713,-2.628223181,34.39936829,-3.990802765,32.48230743,-11.30911446,19.58205795,-11.82766247,21.14404869,1.370243907,16.18070412,-2.271883249,3.183961391,-8.885515213,3.55334568,3.862808466,8.311058998,6.334954739,2.791930914,voice
209__[voi][nod][cou_fol]2422__3.wav,0.539528728,0.108533531,1028.973273,1886.618563,1823.587943,0.016940909,-282.4613647,184.5326691,-2.785427332,24.75223541,29.63461113,28.98528099,-0.022221038,7.954402447,3.73530364,-3.710748434,7.18552494,3.916288137,3.54449439,-1.667965412,1.269818783,-2.904932976,-1.272815585,-2.151734591,-5.308949947,-1.615575314,voice
[voi][jaz_blu]2486__1.wav,0.313111037,0.157154545,3930.003977,4559.615161,9309.078072,0.070844142,-145.989563,119.0125732,17.75708008,32.26726532,-31.55048943,25.68793297,-4.460916996,22.74114418,-16.55534363,9.658657074,0.051382177,0.829184532,-18.9341011,4.686988831,-19.10759544,8.277480125,-5.683588028,19.76993942,2.346024036,17.62010574,voice
214__[voi][nod][cou_fol]2372__1.wav,0.280178189,0.165173158,1150.923294,1465.620772,2396.171611,0.024142586,-226.0290527,212.2256317,-31.4240303,35.26317978,22.36864281,-10.71737385,2.919800997,-0.533616722,-6.472189426,-11.86310673,-0.467982411,0.987317383,-1.540749311,1.690703988,-1.238488913,1.393326163,-2.605405569,-4.173269272,4.156384945,5.234592915,voice
[voi][pop_roc]2499__1.wav,0.409855872,0.063551433,1884.951416,2918.20722,3871.487014,0.034315426,-282.6690063,178.5279694,24.9984417,21.25601768,-12.51017666,10.48835659,-3.587879419,12.93267727,-4.565466404,-3.88016367,-17.41231918,-5.709661007,-8.315804482,0.804484367,-0.311881274,-5.520236492,-5.241887093,3.619780302,-0.753358483,-5.503158092,voice
264__[voi][nod][cou_fol]2435__2.wav,0.459320813,0.136282146,1780.780623,2494.837361,3425.608372,0.03585945,-170.2978363,177.4193573,-22.40248871,28.62072563,-3.527305603,17.28097534,-8.441020012,0.816954911,-3.099988937,-5.027524948,-7.137529373,4.148925304,-2.88650012,-7.909364223,-5.810825348,-5.12008667,-4.866691589,-7.42948246,0.764093935,-2.886355877,voice
[voi][pop_roc]2362__3.wav,0.327615112,0.066986449,3312.83145,3518.712859,7221.355046,0.069641349,-196.1199341,131.5540466,-40.79125214,54.97990417,-19.3151207,30.18103981,-24.90983009,7.925392151,-13.5022459,2.691084862,-7.670027256,0.233892843,-3.775067091,-2.417777777,-5.327208996,-5.9565382,-6.273667336,-3.229210854,-8.626209259,-12.42991447,voice
[voi][pop_roc]2533__3.wav,0.415322781,0.121210612,2977.335291,3101.012427,6156.833298,0.075466789,-134.3660431,144.8767548,-40.8197937,67.50489807,-22.20815468,14.53848743,-8.239160538,10.72559357,-5.107204437,5.010089874,-10.29371166,1.411754966,-1.803968787,3.364193678,0.811428249,4.670671463,1.360245109,1.944026351,2.758481503,-2.755074739,voice
[voi][pop_roc]2337__2.wav,0.38147974,0.170633078,1635.062313,2381.706038,3329.665065,0.030345077,-186.2182922,187.9085693,-8.124070168,37.39374542,-10.21352196,15.03900528,-3.86784339,5.900650978,-15.14191532,2.610660791,2.041974545,-6.865571022,-10.13896561,-8.231827736,-9.334534645,-10.33337593,-2.751580238,-17.89025497,-1.803353548,5.402151585,voice
[voi][pop_roc]2505__2.wav,0.298082381,0.156060189,1933.237781,3254.233021,3491.787637,0.029788927,-179.5457153,166.0864868,-7.678155899,30.82065582,7.748739243,13.8289547,-11.57847309,4.729207039,-11.1538372,4.798041821,-1.652225256,7.98335886,-20.54942894,7.304837704,-9.951703072,3.528601885,-19.52298546,14.25491524,-4.526879787,-8.790340424,voice
[voi][pop_roc]2354__2.wav,0.309565514,0.117470734,1752.172184,2673.661257,3574.262299,0.025296362,-248.3100739,159.3717499,-8.608720779,36.87320709,-3.554377317,14.64844513,-11.94171143,-1.206531644,-19.77619934,3.761051893,-16.39585114,-14.85940933,-12.58730602,-8.795433998,-5.63876152,-20.1212883,-12.69584656,-9.79464817,-3.534904003,-13.59111595,voice
128__[voi][dru][pop_roc]2293__3.wav,0.590913951,0.244246617,3485.077166,3547.857924,7239.728938,0.079391892,-57.18198013,129.1114502,-49.96834946,69.00457764,-11.26909828,34.68718338,-16.3490696,28.15509415,-1.912081599,19.71151161,0.212249517,5.969898224,1.800855041,-0.998123825,1.540679932,-6.22454071,6.215268612,-8.519849777,2.737051964,-8.212515831,voice
128__[voi][dru][pop_roc]2293__2.wav,0.597631454,0.239057213,3453.132398,3416.784881,7023.482369,0.086904636,-56.44403076,131.1385498,-56.63462067,72.30357361,-8.635475159,35.91284943,-19.08441162,26.9793148,-1.818786025,19.14156914,-1.157920003,3.168677568,1.314216733,-0.728467941,3.271420479,-6.739688396,5.053687572,-6.177828312,5.404284954,-5.140690804,voice
051__[voi][dru][pop_roc]2304__1.wav,0.383608043,0.11728555,2504.57624,3056.270682,5395.18977,0.051478795,-165.7948914,154.6679535,-37.17900085,55.98032379,-17.90700531,35.82727814,-12.12480927,4.580872536,-17.72477913,-3.471832752,-12.56034184,-10.0892601,-0.125149176,-5.392917156,-4.445384026,-5.651471615,-2.539420605,2.890945673,6.336535454,-6.906864643,voice
112__[voi][dru][cou_fol]2427__1.wav,0.416115552,0.231357634,3169.582964,3614.188622,7063.306324,0.072653988,-64.40634918,150.7055969,-36.34932327,44.49215317,-23.5749855,31.13925171,-23.8552475,28.72542,-9.0965271,18.16190529,-6.417404175,9.154990196,-4.392618179,2.101899624,-1.597918749,1.705877185,0.143723592,-1.943446517,4.768841267,-7.175747395,voice
[voi][pop_roc]2354__3.wav,0.37830779,0.082586288,2052.425877,2621.861756,3907.819098,0.046560162,-255.2595367,164.298111,-16.59386826,33.63227463,-8.515539169,17.53591156,-11.82489204,-0.230042681,-19.88526154,6.063052177,-12.23981476,-12.03017044,-11.50621986,-12.87330246,-10.09252739,-14.58309555,-7.393759251,-10.39632988,-2.49519062,-9.070555687,voice
[voi][pop_roc]2505__3.wav,0.377374172,0.146839574,1708.804831,2380.617209,3514.567937,0.030099994,-202.0036469,172.7855072,-27.80426598,40.08178329,13.87062359,11.78089237,-2.241020203,4.249808311,-1.050767541,1.152678609,-1.343850493,-5.984759808,-11.81093121,-2.032868862,-8.88967514,-3.104227543,-5.315984726,-1.367198706,1.338182807,-8.765723228,voice
[voi][pop_roc]2337__3.wav,0.363711715,0.16867055,1695.929942,2343.469695,3358.930268,0.035872647,-182.7493896,185.0402985,-11.31283474,29.72494698,-1.679679871,16.28933907,-15.94385719,1.359056354,-6.588273525,0.47726199,-4.650906086,-4.521455765,-8.40907383,-7.506301403,-11.15677834,-7.212334633,-0.696186662,-16.58138657,0.37669012,6.664103031,voice
[voi][pop_roc]2533__2.wav,0.375257105,0.125286192,2912.908375,3071.856618,6023.227671,0.076782698,-133.8813629,143.6937714,-43.87320709,64.48049927,-19.21615982,16.89595604,-4.485208511,6.576018333,-8.992707253,8.724975586,-6.907599449,4.057836056,1.217669964,2.215794325,-1.749222755,0.980057418,-0.112738535,-0.455817819,1.326542616,-0.717973888,voice
264__[voi][nod][cou_fol]2435__3.wav,0.42502448,0.129294395,1859.156045,2496.625431,3462.771854,0.042397517,-179.3871307,184.4675751,-23.93676567,34.66781616,-8.510464668,26.09839439,-17.26904869,2.899307489,-3.685145855,-3.87398386,-5.79616642,-1.15157783,-1.375670195,-7.177749634,-7.781356335,-4.543457031,-7.174711704,-5.257221222,-0.849710703,-3.83872366,voice
079__[voi][dru][lat_sou]2289__1.wav,0.348293424,0.123063363,1680.229738,1691.575853,3413.137405,0.051454286,-219.7902832,204.4508514,-61.11465454,38.01560974,23.26917267,-13.53178501,-9.3654356,1.252298594,-3.597420692,-3.333795309,6.853037834,-3.309773445,0.808724284,-10.04764843,-10.43215179,-5.089594841,-9.835422516,-0.528496206,-1.693049073,-5.013235569,voice
[voi][pop_roc]2362__2.wav,0.390099198,0.041487366,2745.823123,3102.664782,5601.293285,0.058987768,-255.3075562,145.1619263,-46.06921387,54.62885666,-9.915888786,22.63259125,-22.40281105,7.424566269,-12.9814167,-3.401666403,-10.6642189,-1.609506965,-6.225909233,-3.131006002,-7.347838402,-5.565366745,-5.945214272,-2.722985029,-8.893547058,-11.31344986,voice
209__[voi][nod][cou_fol]2422__2.wav,0.638409138,0.097156599,935.1748424,1858.345492,1612.662321,0.012697198,-305.4914246,183.3241119,-3.144396782,35.54747009,30.74308586,26.71249771,4.876152992,12.96043968,6.240661621,-2.170228004,4.476013184,0.242427483,7.107923031,0.347410768,0.673861444,-0.276102632,-2.405275822,-2.859876156,-4.792467594,-1.553130507,voice
